path	license	bucket	reason
audio/battle_anims/Absorb2.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Ace.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Acupressure.mp3	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Applause.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Battle1.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Blow1.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Blow3.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Blow4.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Blow5.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Blow6.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Blow7.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Bow1.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Collapse1.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Comet Punch.mp3	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
audio/battle_anims/Confuse.m4a	LicenseRef-FAIR-USE	REPLACE_LICENSE_BLOCKER	Upstream marks asset as Nintendo/Creatures/GAME FREAK IP under fair-use only
