path	bucket	reason
locales/ca/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/ca/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/da/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/de/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/de/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/en/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/en/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/es-419/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/es-419/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/es-ES/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/es-ES/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/fr/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/fr/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/he/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/hi/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/id/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/it/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/it/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/ja/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/ja/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/ko/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/ko/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/pt-BR/move-trigger.json	REPLACE_MOVE_TEXT	Localized move-trigger strings include move-specific text and should be rewritten with the new move catalog
locales/pt-BR/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/ru/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/sv/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
locales/th/move.json	REPLACE_MOVE_TEXT	Localized move names and move effect text must be rewritten for a new commercial move catalog
